layer,idx,lat,lon,alt_m,speed_mps
L10.0m,5,30.900403222414738,120.50060094127026,10.0,1.5
L10.0m,6,30.9004166945785,120.50057851836964,10.0,1.5
L10.0m,7,30.900426621036544,120.50055370972808,10.0,1.5
L10.0m,8,30.90043270017847,120.5005272691436,10.0,1.5
L10.0m,9,30.900434747292618,120.5005,10.0,1.5
L10.0m,10,30.90043270017847,120.5004727308564,10.0,1.5
L10.0m,11,30.900426621036544,120.50044629027192,10.0,1.5
L10.0m,12,30.9004166945785,120.50042148163037,10.0,1.5
L10.0m,13,30.900403222414738,120.50039905872974,10.0,1.5
L10.0m,14,30.900386613890134,120.50037970287852,10.0,1.5
L10.0m,15,30.90036737364631,120.50036400219447,10.0,1.5
L10.0m,16,30.900346086288334,120.50035243373492,10.0,1.5
L10.0m,17,30.90032339862181,120.50034534900166,10.0,1.5
L10.0m,18,30.9003,120.50034296326074,10.0,1.5
L10.0m,19,30.90027660137819,120.50034534900166,10.0,1.5
L10.0m,20,30.90025391371167,120.50035243373492,10.0,1.5
L10.0m,21,30.90023262635369,120.50036400219447,10.0,1.5
L10.0m,22,30.90021338610987,120.50037970287852,10.0,1.5
L10.0m,23,30.900196777585265,120.50039905872974,10.0,1.5
L10.0m,24,30.900183305421503,120.50042148163037,10.0,1.5
L10.0m,25,30.90017337896346,120.50044629027192,10.0,1.5
L10.0m,26,30.900167299821533,120.5004727308564,10.0,1.5
L10.0m,27,30.900165252707385,120.5005,10.0,1.5
L10.0m,28,30.900167299821533,120.5005272691436,10.0,1.5
L10.0m,29,30.90017337896346,120.50055370972808,10.0,1.5
L10.0m,30,30.900183305421503,120.50057851836964,10.0,1.5
L10.0m,31,30.900196777585265,120.50060094127026,10.0,1.5
L10.0m,32,30.90021338610987,120.50062029712149,10.0,1.5
L10.0m,33,30.90023262635369,120.50063599780553,10.0,1.5
L10.0m,34,30.90025391371167,120.50064756626509,10.0,1.5
L10.0m,35,30.90027660137819,120.50065465099834,10.0,1.5
L10.0m,36,30.9003,120.50065703673927,10.0,1.5
L15.0m,0,30.9003,120.50065703673927,15.0,1.5
L15.0m,1,30.90032339862181,120.50065465099834,15.0,1.5
L15.0m,2,30.900346086288334,120.50064756626509,15.0,1.5
L15.0m,3,30.90036737364631,120.50063599780553,15.0,1.5
L15.0m,4,30.900386613890134,120.50062029712149,15.0,1.5
L15.0m,5,30.900403222414738,120.50060094127026,15.0,1.5
L15.0m,6,30.9004166945785,120.50057851836964,15.0,1.5
L15.0m,7,30.900426621036544,120.50055370972808,15.0,1.5
L15.0m,8,30.90043270017847,120.5005272691436,15.0,1.5
L15.0m,9,30.900434747292618,120.5005,15.0,1.5
L15.0m,10,30.90043270017847,120.5004727308564,15.0,1.5
L15.0m,11,30.900426621036544,120.50044629027192,15.0,1.5
L15.0m,12,30.9004166945785,120.50042148163037,15.0,1.5
L15.0m,13,30.900403222414738,120.50039905872974,15.0,1.5
L15.0m,14,30.900386613890134,120.50037970287852,15.0,1.5
L15.0m,15,30.90036737364631,120.50036400219447,15.0,1.5
L15.0m,16,30.900346086288334,120.50035243373492,15.0,1.5
L15.0m,17,30.90032339862181,120.50034534900166,15.0,1.5
L15.0m,18,30.9003,120.50034296326074,15.0,1.5
L15.0m,19,30.90027660137819,120.50034534900166,15.0,1.5
L15.0m,20,30.90025391371167,120.50035243373492,15.0,1.5
L15.0m,21,30.90023262635369,120.50036400219447,15.0,1.5
L15.0m,22,30.90021338610987,120.50037970287852,15.0,1.5
L15.0m,23,30.900196777585265,120.50039905872974,15.0,1.5
L15.0m,24,30.900183305421503,120.50042148163037,15.0,1.5
L15.0m,25,30.90017337896346,120.50044629027192,15.0,1.5
L15.0m,26,30.900167299821533,120.5004727308564,15.0,1.5
L15.0m,27,30.900165252707385,120.5005,15.0,1.5
L15.0m,28,30.900167299821533,120.5005272691436,15.0,1.5
L15.0m,29,30.90017337896346,120.50055370972808,15.0,1.5
L15.0m,30,30.900183305421503,120.50057851836964,15.0,1.5
L15.0m,31,30.900196777585265,120.50060094127026,15.0,1.5
L15.0m,32,30.90021338610987,120.50062029712149,15.0,1.5
L15.0m,33,30.90023262635369,120.50063599780553,15.0,1.5
L15.0m,34,30.90025391371167,120.50064756626509,15.0,1.5
L15.0m,35,30.90027660137819,120.50065465099834,15.0,1.5
L15.0m,36,30.9003,120.50065703673927,15.0,1.5
L20.0m,0,30.9003,120.50065703673927,20.0,1.5
L20.0m,1,30.90032339862181,120.50065465099834,20.0,1.5
L20.0m,2,30.900346086288334,120.50064756626509,20.0,1.5
L20.0m,3,30.90036737364631,120.50063599780553,20.0,1.5
L20.0m,4,30.900386613890134,120.50062029712149,20.0,1.5
L20.0m,5,30.900403222414738,120.50060094127026,20.0,1.5
L20.0m,6,30.9004166945785,120.50057851836964,20.0,1.5
L20.0m,7,30.900426621036544,120.50055370972808,20.0,1.5
L20.0m,8,30.90043270017847,120.5005272691436,20.0,1.5
L20.0m,9,30.900434747292618,120.5005,20.0,1.5
L20.0m,10,30.90043270017847,120.5004727308564,20.0,1.5
L20.0m,11,30.900426621036544,120.50044629027192,20.0,1.5
L20.0m,12,30.9004166945785,120.50042148163037,20.0,1.5
L20.0m,13,30.900403222414738,120.50039905872974,20.0,1.5
L20.0m,14,30.900386613890134,120.50037970287852,20.0,1.5
L20.0m,15,30.90036737364631,120.50036400219447,20.0,1.5
L20.0m,16,30.900346086288334,120.50035243373492,20.0,1.5
L20.0m,17,30.90032339862181,120.50034534900166,20.0,1.5
L20.0m,18,30.9003,120.50034296326074,20.0,1.5
L20.0m,19,30.90027660137819,120.50034534900166,20.0,1.5
L20.0m,20,30.90025391371167,120.50035243373492,20.0,1.5
L20.0m,21,30.90023262635369,120.50036400219447,20.0,1.5
L20.0m,22,30.90021338610987,120.50037970287852,20.0,1.5
L20.0m,23,30.900196777585265,120.50039905872974,20.0,1.5
L20.0m,24,30.900183305421503,120.50042148163037,20.0,1.5
L20.0m,25,30.90017337896346,120.50044629027192,20.0,1.5
L20.0m,26,30.900167299821533,120.5004727308564,20.0,1.5
L20.0m,27,30.900165252707385,120.5005,20.0,1.5
L20.0m,28,30.900167299821533,120.5005272691436,20.0,1.5
L20.0m,29,30.90017337896346,120.50055370972808,20.0,1.5
L20.0m,30,30.900183305421503,120.50057851836964,20.0,1.5
L20.0m,31,30.900196777585265,120.50060094127026,20.0,1.5
L20.0m,32,30.90021338610987,120.50062029712149,20.0,1.5
L20.0m,33,30.90023262635369,120.50063599780553,20.0,1.5
L20.0m,34,30.90025391371167,120.50064756626509,20.0,1.5
L20.0m,35,30.90027660137819,120.50065465099834,20.0,1.5
L20.0m,36,30.9003,120.50065703673927,20.0,1.5
